Bigrams,TF-IDF Values
ect ect ect,116
new world order,69
soros soros soros,1
open society foundation,38
world economic forum,65
th place world,0
soros george soros,15
deep state plan,7
paradise george soros,2
hunter biden laptop,1
alliance lobby coalition,2
lobby coalition financial,2
stateless alliance lobby,2
free trade commission,0
george soros george,15
soros open society,48
brussels europe nation,2
coalition financial paradise,2
europe nation stateless,2
financial paradise george,2
nation stateless alliance,2
hispanic radio station,0
biden laptop story,1
negative interest rate,0
dont want dont,1
musk george soros,48
elon musk george,47
amazon blackrock pfizer,32
ceo amazon blackrock,31
gate foundation soros,29
follow white rabbit,28
blackrock pfizer official,28
foundation soros network,28
official gate foundation,27
pfizer official gate,27
white rabbit operation,27
chris ceo amazon,26
director chris ceo,25
fbi director chris,25
jewish israeli kike,23
soros network publisher,23
problem country problem,22
huge elon musk,21
publisher new york,21
like fbi director,20
network publisher new,20
george soros open,20
open society satellite,19
society satellite office,19
le lapin blanc,18
