,Term,zog,kike,george soros,rothschild,nigger,Average,predict,true_label
0,ect_ect_ect,0.076067433,0.019653399,0.304553777,0.295067281,-0.067643613,0.125539655,1,0
1,new_world_order,0.306171149,0.196979225,0.263784915,0.429450601,0.08113908,0.255504994,1,1
2,soros_soros_soros,-0.052177297,-0.060367292,-0.015150175,-0.027149698,-0.070546546,-0.045078201,0,
3,open_society_foundation,-0.024423508,-0.010064499,0.496133715,0.204522431,-0.089005768,0.115432474,1,1
4,world_economic_forum,0.022869259,0.030645687,0.387499839,0.246661678,-0.056903794,0.126154534,1,1
5,th_place_world,-0.029304755,-0.063757766,0.033155629,0.021785285,-0.10381081,-0.028386483,0,
6,soros_george_soros,-0.102179156,-0.078533654,-0.056145771,-0.010460663,-0.104299982,-0.070323845,0,
7,deep_state_plan,0.417113125,0.501727402,0.333359212,0.311863154,0.504691362,0.413750851,1,1
8,paradise_george_soros,-0.03655869,-0.071776425,-0.017476741,0.015098007,-0.082122869,-0.038567344,0,
9,hunter_biden_laptop,0.226985082,0.316965908,0.351010263,0.149469838,0.301460326,0.269178283,1,1
10,alliance_lobby_coalition,-0.016690613,-0.000861041,0.014432721,0.058187478,-0.03797626,0.003418457,0,
11,lobby_coalition_financial,-0.059073483,-0.050923487,0.02251427,0.009930385,-0.070913617,-0.029693186,0,
12,stateless_alliance_lobby,-0.062228134,-0.021971232,0.015385572,0.003644354,-0.082905139,-0.029614916,0,
13,free_trade_commission,-0.073515553,-0.099580637,0.03115007,0.022121503,-0.170740498,-0.058113023,0,
14,george_soros_george,-0.031509768,-0.008009941,0.038308045,0.010304862,-0.100420585,-0.018265478,0,
15,soros_open_society,0.229562625,0.295956284,0.374888182,0.24052377,0.290430516,0.286272275,1,1
16,brussels_europe_nation,-0.049917488,-0.027799633,0.044083758,0.071366791,-0.075563657,-0.007566045,0,
17,coalition_financial_paradise,-0.030899246,-0.042111537,-0.03072517,0.029361279,-0.004786754,-0.015832286,0,
18,europe_nation_stateless,-0.065152602,-0.0421346,0.038627338,0.038420317,-0.093237116,-0.024695333,0,
19,financial_paradise_george,-0.049920051,-0.084141599,-0.01563646,0.06301968,-0.085879272,-0.03451154,0,
20,nation_stateless_alliance,0.003703249,0.018275199,-0.002947935,0.018908225,-0.046123458,-0.001636944,0,
21,hispanic_radio_station,-0.034864431,-0.025715813,0.021853154,-0.023741348,-0.042468917,-0.020987471,0,
22,biden_laptop_story,0.18197152,0.220747486,0.233321577,0.160778984,0.223202497,0.204004413,1,1
23,negative_interest_rate,0.324733555,0.344762951,0.222176656,0.248978093,0.370325923,0.302195436,1,1
24,dont_want_dont,-0.013752763,-0.058395667,0.076261158,-0.00650306,-0.095595784,-0.019597223,0,
25,musk_george_soros,-0.085061501,-0.025883666,-0.016534677,0.028280224,-0.116831532,-0.04320623,0,
26,elon_musk_george,-0.063111469,-0.047704223,-0.042860613,-0.015337811,-0.058976801,-0.045598184,0,
27,amazon_blackrock_pfizer,-0.044242,-0.043998362,0.035106584,-0.01217988,-0.043021407,-0.021667013,0,
28,ceo_amazon_blackrock,0.020200596,-0.010319761,0.038568651,0.03410965,-0.064169001,0.003678027,0,
29,gate_foundation_soros,0.018623074,0.011412891,0.015923637,0.044466896,-0.066648468,0.004755606,0,
30,follow_white_rabbit,0.003681254,-0.038630933,0.039879469,0.070097471,-0.088045784,-0.002603705,0,
31,blackrock_pfizer_official,-0.03858003,-0.061321507,-0.000335731,-0.017242188,-0.091546126,-0.041805117,0,
32,foundation_soros_network,-0.059404465,-0.015279458,0.037424166,-0.006943874,-0.040158274,-0.016872381,0,
33,official_gate_foundation,-0.041963052,0.028025657,0.202963829,0.20399408,-0.018041721,0.074995759,1,1
34,pfizer_official_gate,-0.045999289,-0.065225379,0.026206303,0.001522591,-0.062198066,-0.029138768,0,
35,white_rabbit_operation,-0.06137688,-0.06297642,-0.063925854,-0.010098167,-0.125166555,-0.064708775,0,
36,chris_ceo_amazon,0.020337014,-0.029118049,0.035281526,0.011980379,-0.071535448,-0.006610915,0,
37,director_chris_ceo,-0.05163005,-0.038731764,0.039125235,0.021252783,-0.073897667,-0.020776293,0,
38,fbi_director_chris,-0.033914348,-0.03578712,0.068096788,-0.057269532,-0.071132236,-0.026001289,0,
39,jewish_israeli_kike,0.423694879,0.558466554,0.196135908,0.207796708,0.607595623,0.398737934,1,1
40,soros_network_publisher,-0.031355139,0.011225076,0.235460073,0.167217359,-0.022518225,0.072005829,1,1
41,problem_country_problem,0.014649492,-0.013260324,0.036812915,0.0543794,-0.085065959,0.001503105,0,
42,huge_elon_musk,-0.029495018,-0.022236103,-0.030861643,-0.02168366,-0.039028056,-0.028660896,0,
43,publisher_new_york,-0.057286101,-0.077193354,0.031053092,0.033790018,-0.095535666,-0.033034402,0,
44,like_fbi_director,-0.003067232,-0.056422698,0.011570586,0.002177023,-0.083456471,-0.025839758,0,
45,network_publisher_new,-0.090267242,-0.06421659,0.00679552,-0.038163771,-0.090313475,-0.055233112,0,
46,george_soros_open,-0.020472106,-0.093921021,0.033611194,-0.068122637,-0.107162702,-0.051213454,0,
47,open_society_satellite,-0.012618351,-0.009783789,0.025966236,0.026300485,-0.074169299,-0.008860944,0,
48,society_satellite_office,-0.086840412,-0.086021738,-0.048810203,-0.045529336,-0.109881588,-0.075416655,0,
49,le_lapin_blanc,-0.048952988,-0.052362743,0.048313534,0.017508387,-0.06717268,-0.020533298,0,
50,attachment_view_attachment,-0.092700176,-0.096246582,-0.047249964,0.012168628,-0.107216914,-0.066249001,0,
51,view_attachment_view,-0.040220655,-0.002198203,0.039324189,0.002822559,-0.067348247,-0.013524071,0,
52,schwab_george_soros,0.420232117,0.420881629,0.423388332,0.346875042,0.421034038,0.406482232,1,
53,klaus_schwab_george,-0.06038313,-0.066287819,-0.0289073,0.037182054,-0.113964076,-0.046472054,0,
54,biden_crime_family,0.282257825,0.306175351,0.439225078,0.296324551,0.260674357,0.316931432,1,1
55,george_soros_world,-0.062848354,-0.025686848,-0.025456796,0.048039918,-0.068306041,-0.026851624,0,
56,soros_world_economic,-0.013927271,0.01326453,0.019861976,-0.011955961,-0.042450662,-0.007041478,0,
57,soros_schwab_wef,0.382188171,0.443776727,0.359477013,0.307048291,0.451604486,0.388818938,1,1
58,gaylord_obama_mafia,-0.022496629,-0.045933817,0.03527185,0.02172549,-0.058500174,-0.013986656,0,
59,obama_mafia_brat,-0.082641036,-0.065121888,-0.000971239,-0.046095019,-0.058000078,-0.050565852,0,
60,citizen_tax_money,-0.051170054,-0.019680284,0.001958992,0.018148873,-0.079751296,-0.026098754,0,
61,tax_money_coup,0.013488231,-0.010295232,0.015472824,-0.013730824,-0.0543813,-0.00988926,0,
62,interest_citizen_tax,0.009788314,-0.024905618,0.042321717,0.00446961,-0.069550348,-0.007575265,0,
63,ukraine_interest_citizen,-0.035833177,-0.039453558,-0.006355578,0.053025177,-0.089493577,-0.023622142,0,
64,soros_klaus_schwab,0.37436837,0.379857391,0.454963148,0.401294172,0.365526468,0.39520191,1,1
65,trump_trump_trump,-0.060826507,-0.054944119,0.01127358,0.047400932,-0.068711393,-0.025161501,0,
66,view_attachment_click,-0.0044863,0.024186626,0.027285084,0.060665322,-0.009809113,0.019568324,0,
67,rothschild_central_bank,0.373806506,0.337149173,0.310688049,0.412310779,0.311903805,0.349171662,1,1
68,george_soros_medium,-0.027435534,-0.027155139,0.030296789,0.039227146,-0.072304604,-0.011474268,0,
69,furfag_tranny_kike,-0.045883707,-0.030237747,0.039479866,0.057119286,-0.096837113,-0.015271883,0,
70,kike_furfag_tranny,-0.031769454,-0.026208152,0.024685109,0.040817875,-0.02666249,-0.003827422,0,
71,tranny_kike_furfag,0.005333083,0.017458544,0.002079416,0.037096611,-0.040203832,0.004352764,0,
72,george_soros_schwab,-0.024071573,-0.046894997,0.042371938,0.035299961,-0.093655544,-0.017390043,0,
73,george_soros_nazi,0.006324327,-0.031099975,-0.008033785,-0.004274054,-0.078366305,-0.023089958,0,
74,george_soros_soros,-0.036120176,-0.053405364,-0.049409188,-0.051582742,-0.025022144,-0.043107923,0,
75,thousand_thousand_thousand,-0.027653343,0.010514277,-0.017107181,-0.012461022,-0.070605759,-0.023462606,0,
76,biden_white_house,0.208432972,0.265175849,0.399235219,0.216749579,0.266929299,0.271304584,1,1
77,division_white_people,0.004869661,0.044076809,0.060208816,0.066388632,-0.004593036,0.034190177,1,1
78,people_kikeuntil_jew,-0.107470586,-0.101588374,0.034660453,-0.004238639,-0.148368024,-0.065401034,0,
79,white_people_kikeuntil,-0.036283524,-0.040192136,0.004401,0.062432183,-0.054337605,-0.012796016,0,
80,white_house_dozen,-0.006113084,0.01328258,0.025382916,-0.017302203,-0.03545257,-0.004040472,0,
81,jew_division_white,-0.03643981,-0.067526937,0.038440219,-0.030714463,-0.05276916,-0.02980203,0,
82,kikeuntil_jew_division,-0.021985656,-0.039754719,0.066901379,-0.005758083,-0.064766881,-0.013072792,0,
83,ukrainian_eu_financial,0.003158511,-0.046493782,0.001487588,0.023634146,-0.05005477,-0.013653661,0,
84,hollywood_gate_fauci,-0.037443493,-0.037732973,0.052679512,0.018183071,-0.069297848,-0.014722346,0,
85,saban_hollywood_gate,-0.06896581,-0.051133376,0.046926461,0.002138316,-0.049529804,-0.024112843,0,
86,director_george_soros,0.253176272,0.300013125,0.265326858,0.223676726,0.30771628,0.269981852,1,1
87,soros_dangerous_man,-0.000842226,0.027980512,0.036210265,-0.001724922,0.004615077,0.013247741,0,
88,eastern_european_soldier,-0.026161458,-0.071677602,0.014701924,-0.018716997,-0.091111032,-0.038593033,0,
89,house_dozen_time,0.109422922,0.121160425,0.155288637,0.134440839,0.115137801,0.127090125,1,1
90,bye_ukraine_let,-0.053356795,-0.016669044,0.018276563,0.058277376,-0.104940159,-0.019682412,0,
91,coup_ukraine_toast,0.007172091,-0.025702985,-0.023646321,0.066082204,-0.078506856,-0.010920374,0,
92,eu_financial_fck,-0.079940192,-0.017204793,-0.027065207,0.002209767,-0.085592987,-0.041518682,0,
93,fck_coup_ukraine,-0.051013874,-0.042637406,0.015342737,0.006983574,-0.083194471,-0.030903888,0,
94,financial_fck_coup,-0.054164963,-0.033332421,0.009443419,0.023225827,-0.052033846,-0.021372397,0,
95,toast_gettum_putin,0.215246871,0.203319713,0.165145025,0.186071619,0.220881119,0.19813287,1,1
96,ukraine_toast_gettum,-0.05197369,-0.012103071,0.038104676,0.009370666,-0.063176961,-0.015955676,0,
97,george_soros_dangerous,-0.033362863,-0.002825721,0.015144571,-0.008422654,-0.03461286,-0.012815905,0,
98,george_soros_biden,-0.009687699,-0.008475759,-0.00708657,0.015904333,-0.024621935,-0.006793526,0,
99,bye_bye_ukraine,-0.068886587,-0.031627341,0.04118285,0.017893368,-0.062590773,-0.020805696,0,
100,collect_tax_jail,-0.055890251,-0.041648534,0.028512022,0.029489222,-0.044490039,-0.016805516,0,
101,jail_way_ticket,-0.051166923,-0.00320149,-0.068564116,0.00327629,-0.039273939,-0.031786036,0,
102,tax_jail_way,0.000969934,-0.003465341,0.048086422,0.008095388,-0.00526898,0.009683484,0,
103,criminal_family_collect,0.015971173,-0.047376335,0.02659441,0.029828575,-0.076068328,-0.010210101,0,
104,family_collect_tax,0.007424034,-0.028719087,0.017259719,-0.01216291,-0.072483199,-0.017736289,0,
105,way_ticket_coup,-0.041662727,-0.059225671,0.023551605,0.063803255,-0.067356016,-0.016177911,0,
106,country_uk_bank,-0.031504726,-0.066700804,0.022712826,0.007124389,-0.0891056,-0.031494783,0,
107,coup_schwab_wwii,-0.009734789,-0.027093334,0.076072194,0.007041193,-0.041827217,0.00089161,0,
108,grata_country_uk,-0.086305308,-0.057733966,0.044317712,-0.040480916,-0.076938893,-0.043428274,0,
109,know_persona_non,-0.079518072,-0.072702679,0.013192302,-0.008166552,-0.061389903,-0.041716981,0,
110,people_soros_know,-0.056286184,-0.063194851,-0.0194182,0.050785992,-0.035809472,-0.024784543,0,
111,schwab_wwii_usand,-0.046181621,-0.029250287,0.041863376,0.013674378,-0.060933667,-0.016165564,0,
112,soros_know_persona,-0.005443675,-0.009554664,0.002739033,0.04890678,-0.050392229,-0.002748951,0,
113,interest_people_soros,-0.009881955,-0.032330098,0.01714188,-0.014864215,-0.042455757,-0.016478029,0,
114,usand_interest_people,-0.005427606,-0.02102918,0.084100198,0.008621337,-0.078996061,-0.002546262,0,
115,wwii_usand_interest,-0.030010396,-0.061201159,-0.012544983,-0.003227859,-0.075742939,-0.036545467,0,
116,soros_criminal_family,-0.022786557,-0.061154954,-0.003215977,-0.002207029,-0.061545068,-0.030181917,0,
117,ticket_coup_schwab,-0.005494668,-0.030022496,0.088048444,0.060670316,-0.098261275,0.002988064,0,
